Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-04-15 04:31:45,32.3182,-86.9023,1297649,19475,,,1.0,26465.43012348096,7518213.0,,1.5007910459608107,84000001.0,USA,153333.25175370704,
Alaska,US,2022-04-15 04:31:45,61.3707,-152.4044,249978,1235,,,2.0,34171.24032014435,,,0.4940434758258727,84000002.0,USA,,
American Samoa,US,2022-04-15 04:31:45,-14.270999999999999,-170.132,5536,18,,,60.0,9949.497672579571,,,0.32514450867052025,16.0,ASM,,
Arizona,US,2022-04-15 04:31:45,33.7298,-111.4312,2016797,29823,,,4.0,27708.13867334037,19077981.0,,1.4787308787151112,84000004.0,USA,262106.3712189937,
Arkansas,US,2022-04-15 04:31:45,34.9697,-92.3731,834037,11333,,,5.0,27637.21567073276,5092312.0,,1.3588126186248333,84000005.0,USA,168742.3040064895,
California,US,2022-04-15 04:31:45,36.1162,-119.6816,9150534,89556,,,6.0,23158.742549109425,159864072.0,,0.9786969809630782,84000006.0,USA,404593.9708327725,
Colorado,US,2022-04-15 04:31:45,39.0598,-105.3111,1363400,12001,,,8.0,23675.334309473463,17196195.0,,0.8802259058236761,84000008.0,USA,298610.58051628,
Connecticut,US,2022-04-15 04:31:45,41.5978,-72.7554,744459,10809,,,9.0,20880.75938907583,13780856.0,,1.4519268354603814,84000009.0,USA,386528.6581416868,
Delaware,US,2022-04-15 04:31:45,39.3185,-75.5071,259796,2884,,,10.0,26679.56506915433,3234880.0,,1.1101017721596946,84000010.0,USA,332203.6961727893,
Diamond Princess,US,2022-04-15 04:31:45,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-04-15 04:31:45,38.8974,-77.0268,139160,1333,,,11.0,19718.058403200004,,,0.9578901983328544,84000011.0,USA,,
Florida,US,2022-04-15 04:31:45,27.7663,-81.6868,5906352,73656,,,12.0,27499.880457610594,56363959.0,,1.2470641776853124,84000012.0,USA,262429.6917314892,
Georgia,US,2022-04-15 04:31:45,33.0406,-83.6431,2505856,37476,,,13.0,23601.35788128625,17656155.0,,1.4955368544720846,84000013.0,USA,166294.165731176,
Grand Princess,US,2022-04-15 04:31:45,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-04-15 04:31:45,13.4443,144.7937,47682,354,,,66.0,29033.849076594262,380337.0,,0.7424185227129735,316.0,GUM,231589.42695869788,
Hawaii,US,2022-04-15 04:31:45,21.0943,-157.4983,243299,1390,,,15.0,17183.686095918274,3740621.0,,0.5713134866974381,84000015.0,USA,264192.0314830719,
Idaho,US,2022-04-15 04:31:45,44.2405,-114.4788,445007,4911,,,16.0,24901.55646269162,1215129.0,,1.1035781459617489,84000016.0,USA,67995.7919829441,
Illinois,US,2022-04-15 04:31:45,40.3495,-88.9861,3092065,35937,,,17.0,24401.110148257303,57898053.0,,1.1622330060978667,84000017.0,USA,456903.9682615466,
Indiana,US,2022-04-15 04:31:45,39.8494,-86.2583,1693565,23509,,,18.0,25156.11865864732,19392241.0,,1.3881368592289047,84000018.0,USA,288051.2502638432,
Iowa,US,2022-04-15 04:31:45,42.0115,-93.2105,760377,9475,,,19.0,24100.162595441627,,,1.2460923989021235,84000019.0,USA,,
Kansas,US,2022-04-15 04:31:45,38.5266,-96.7265,771652,8501,,,20.0,26487.0865275765,2269976.0,,1.1016624074064474,84000020.0,USA,77917.31341008899,
Kentucky,US,2022-04-15 04:31:45,37.6681,-84.6701,1321054,15238,,,21.0,29569.17393014216,,,1.1534729087531623,84000021.0,USA,,
Louisiana,US,2022-04-15 04:31:45,31.1695,-91.8678,1170362,17194,,,22.0,25175.60468370937,13267955.0,,1.4691181019206023,84000022.0,USA,285406.3871188958,
Maine,US,2022-04-15 04:31:45,44.6939,-69.3819,239130,2276,,,23.0,17789.60461593856,4073661.0,,0.9517835486973611,84000023.0,USA,303051.9739445861,
Maryland,US,2022-04-15 04:31:45,39.0639,-76.8021,1018701,14395,,,24.0,16850.06483968718,19854580.0,,1.4130741012328445,84000024.0,USA,328409.3766127218,
Massachusetts,US,2022-04-15 04:31:45,42.2302,-71.5301,1721642,20169,,,25.0,24978.472987244248,42887223.0,,1.1714979072304228,84000025.0,USA,622230.0229684339,
Michigan,US,2022-04-15 04:31:45,43.3266,-84.5361,2400990,35857,,,26.0,24041.49774048032,23686566.0,,1.4934256285948713,84000026.0,USA,237177.38223346946,
Minnesota,US,2022-04-15 04:31:45,45.6945,-93.9002,1436766,12708,,,27.0,25476.23674736224,16402859.0,,0.8844864090603479,84000027.0,USA,290849.8107677948,
Mississippi,US,2022-04-15 04:31:45,32.7416,-89.6787,796262,12421,,,28.0,26754.776054559097,,,1.5599136967480554,84000028.0,USA,,
Missouri,US,2022-04-15 04:31:45,38.4561,-92.2884,1418444,20186,,,29.0,23111.37499291234,9853234.0,,1.4231087022117193,84000029.0,USA,160543.37419518403,
Montana,US,2022-04-15 04:31:45,46.9219,-110.4544,273057,3260,,,30.0,25548.523641018066,2810422.0,,1.193889920419546,84000030.0,USA,262956.57283364737,
Nebraska,US,2022-04-15 04:31:45,41.1254,-98.2681,478419,4191,,,31.0,24732.06272926911,5431839.0,,0.8760103591203526,84000031.0,USA,280801.102973106,
Nevada,US,2022-04-15 04:31:45,38.3135,-117.0554,709120,10501,,,32.0,23022.21056336108,,,1.4808495036101084,84000032.0,USA,,
New Hampshire,US,2022-04-15 04:31:45,43.4525,-71.5639,305119,2464,,,33.0,22439.98908591605,3695785.0,,0.8075537741012523,84000033.0,USA,271806.65597321786,
New Jersey,US,2022-04-15 04:31:45,40.2989,-74.521,2223788,33322,,,34.0,25036.483119591,17849861.0,,1.4984342032603828,84000034.0,USA,200962.38652854762,
New Mexico,US,2022-04-15 04:31:45,34.8405,-106.2485,519681,7400,,,35.0,24784.13833459953,6879708.0,,1.4239504619179844,84000035.0,USA,328100.57472497754,
New York,US,2022-04-15 04:31:45,42.1657,-74.9481,5061647,68102,,,36.0,26019.128323086967,104920378.0,,1.345451391612256,84000036.0,USA,539337.6462026669,
North Carolina,US,2022-04-15 04:31:45,35.6301,-79.8064,2639241,23334,,,37.0,25164.18632802712,22953471.0,,0.8841178202369545,84000037.0,USA,218852.85243710864,
North Dakota,US,2022-04-15 04:31:45,47.5289,-99.78399999999999,240312,2257,,,38.0,31534.44207951584,,,0.9391957122407536,84000038.0,USA,,
Northern Mariana Islands,US,2022-04-15 04:31:45,15.0979,145.6739,11203,34,,,69.0,20315.90018859713,,,0.30349013657056145,580.0,MNP,,
Ohio,US,2022-04-15 04:31:45,40.3888,-82.7649,2681437,38266,,,39.0,22939.63607121164,22110216.0,,1.4270706341413204,84000039.0,USA,189152.42405317773,
Oklahoma,US,2022-04-15 04:31:45,35.5653,-96.9289,1036495,15736,,,40.0,26194.15204205439,,,1.5181935272239615,84000040.0,USA,,
Oregon,US,2022-04-15 04:31:45,44.571999999999996,-122.0709,709125,7427,,,41.0,16812.925983768073,10991256.0,,1.0473470826723077,84000041.0,USA,260596.04949289162,
Pennsylvania,US,2022-04-15 04:31:45,40.5908,-77.2098,2793978,44464,,,42.0,21824.56179270268,25090670.0,,1.5914226955258777,84000042.0,USA,195990.40430358125,
Puerto Rico,US,2022-04-15 04:31:45,18.2208,-66.5901,491385,4184,,,72.0,15386.101486241323,3975474.0,,0.8514708426183135,630.0,PRI,124478.86366070135,
Rhode Island,US,2022-04-15 04:31:45,41.6809,-71.5118,365548,3527,,,44.0,34506.461914304935,7702045.0,,0.9648527689934016,84000044.0,USA,727046.3043287415,
South Carolina,US,2022-04-15 04:31:45,33.8569,-80.945,1470597,17698,,,45.0,28562.413837707823,12823078.0,,1.2034568273973087,84000045.0,USA,249053.99678443978,
South Dakota,US,2022-04-15 04:31:45,44.2998,-99.4388,237370,2898,,,46.0,26831.807510012328,1305035.0,,1.2208787968150987,84000046.0,USA,147518.4223525675,
Tennessee,US,2022-04-15 04:31:45,35.7478,-86.6923,2023815,26103,,,47.0,29634.843101083683,12825885.0,,1.2897918040927654,84000047.0,USA,187810.19490790548,
Texas,US,2022-04-15 04:31:45,31.0545,-97.5635,6784338,87808,,,48.0,23397.59223042749,47994910.0,,1.2942751378247959,84000048.0,USA,165523.19965722028,
Utah,US,2022-04-15 04:31:45,40.15,-111.8624,929361,4736,,,49.0,28988.558178241885,5986570.0,,0.5095974545951466,84000049.0,USA,186732.6396665209,
Vermont,US,2022-04-15 04:31:45,44.0459,-72.7107,119339,623,,,50.0,19125.176886131005,3514128.0,,0.5220422493903921,84000050.0,USA,563171.4661636663,
Virgin Islands,US,2022-04-15 04:31:45,18.3358,-64.8963,15872,111,,,78.0,14796.584256255359,353673.0,,0.6993447580645161,850.0,VIR,329709.6990714845,
Virginia,US,2022-04-15 04:31:45,37.7693,-78.17,1681729,19988,,,51.0,19702.715206890167,13284151.0,,1.1885387003494619,84000051.0,USA,155633.78161304546,
Washington,US,2022-04-15 04:31:45,47.4009,-121.4905,1471754,12589,,,53.0,19327.31031151718,,,0.8553739279798118,84000053.0,USA,,
West Virginia,US,2022-04-15 04:31:45,38.4912,-80.9545,498773,6791,,,54.0,27831.03171782225,6082944.0,,1.3615412221591787,84000054.0,USA,339422.15677620197,
Wisconsin,US,2022-04-15 04:31:45,44.2685,-89.6165,1594067,14383,,,55.0,27378.017509515787,,,0.9022832791846264,84000055.0,USA,,
Wyoming,US,2022-04-15 04:31:45,42.756,-107.3025,156258,1801,,,56.0,26998.802610412968,1399042.0,,1.152580987853422,84000056.0,USA,241731.3596851193,
